case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.liquid_damage_denial.000010,cell_403c1d977a3af09f2e4c,10,liquid_damage_denial,ok,included,fe878b90f975881bc3fa8b1002622ab68eb11b891d4be9644a4095df8909c201,0.0,1.0,0.0,-10.0
refund_v2.1n.liquid_damage_denial.000013,cell_0ecf0112c4a5608b6b26,13,liquid_damage_denial,ok,included,1320997e292a47c4b393b5f1daaa404514450ede8d1e2c7eb5431823318da3fd,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000014,cell_084464b0e1b01b21dd6c,14,liquid_damage_denial,ok,included,6e563d92f0c37f14a92afcded9e748abcd1aa7234a605fe99b7cc9785475c310,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000015,cell_93e4534533f0f8812744,15,liquid_damage_denial,ok,included,8959964833acb27b8b6836f54377ae84eba9479a952ef843f368b1348a342fe3,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000016,cell_f3b7c3837061cbcc9578,16,liquid_damage_denial,ok,included,6978fc98a5b37c8d4fa9b6a0cb68ff343580d274f8e32429cc7449f176c5b4a0,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000017,cell_3ecd1f55739a6d0c7fc7,17,liquid_damage_denial,ok,included,e0dceebc94a211528e51b58ec3fbaa87546b55f038bf4d954b00598711e37f13,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000019,cell_0f05fc1279db3b304b59,19,liquid_damage_denial,ok,included,837b21b20fb3c3c6b493fb8dcac5f4f1b01c8f26d83e982e8b5cc9c411c7bd85,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000020,cell_3466fb887e856d077335,20,liquid_damage_denial,ok,included,d245cdaac699d257f991a4c6f66be4194ff0228ae7a03338f680455ee6e490de,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000023,cell_0bd6e7280be1020d2da3,23,liquid_damage_denial,ok,included,625c60ce64a65c350b3487f175e47e235e8233efd9d9e43d66fe73c4fdbfca63,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000024,cell_38e6d9208ef3bc6f9798,24,liquid_damage_denial,ok,included,3055da7bbf88e469c77a58b52a5fabe96c5ee2a495543c1a4d18fa3733c2b320,0.0,1.0,0.0,-10.0
refund_v2.1n.liquid_damage_denial.000027,cell_7525e4cc60d5bbc2d847,27,liquid_damage_denial,ok,included,b96b59995f6bf3855da7999e4bd7f11710ccb05ee197321a14264158daa6b9d0,1.0,1.0,1.0,-2.0
refund_v2.1n.liquid_damage_denial.000028,cell_5bfbb633759ef398776f,28,liquid_damage_denial,ok,included,c0a40b7249b9370c609aa1f9ab2625bfec5fe8a17fbbbe0f9985c8f30c37ca01,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000000,cell_553e94b8746d6e9489be,0,missing_evidence,ok,included,8e967505c4d2c3f7124cd3245f4915fb5e9855995209e25d8d57b7f8d4dd4b10,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000001,cell_e0435eea6dc2cad85df3,1,missing_evidence,ok,included,f8a804e353b12271b8c3235bf45fb008675a144292700108f70f2735da4d05f3,0.0,1.0,0.0,-10.0
