case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified
datacenter_development_v1.worlds_v4.restrictive_draws_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,35f046ffae53acf3255c791524c7052a1bb2000bc6296388cdbd364c0468187e,True
datacenter_development_v1.worlds_v4.restrictive_draws_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,50823430526,53156119075,ok,included,8542ae17be5c53214d01d2246e45ca0de89b2c5d5e49bac599cc4d338ddb56f2,True
datacenter_development_v1.worlds_v4.restrictive_draws_002,world_pack,scripted,agreement_stack_executed,True,True,18,41415316858,43073618930,ok,included,67b5b7c09a502956c2a3d6f0e8ba04a8ce019782c441471e82f27126c86139d4,True
datacenter_development_v1.worlds_v4.restrictive_draws_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,fee0f7a60e5d52caa2bfef1acdaeff6953147aed0753829869f09d581bec742f,True
datacenter_development_v1.worlds_v4.restrictive_draws_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,37885556741,39879376033,ok,included,977c62c3d59eb1caa11ea817ba76964f049a2cf03ed51ddd5d15c407eb20544a,True
datacenter_development_v1.worlds_v4.restrictive_draws_003,world_pack,scripted,agreement_stack_executed,True,True,18,48495585872,50246001660,ok,included,32ce41e4f3c5c338ce395da40dffe14ab08df42e1d6439c4634b40c1bbf54ca1,True
datacenter_development_v1.worlds_v4.restrictive_draws_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,4a3bbf59e13415f8b710421760cccf4b5d349f1b2efea2f787f015956c168098,True
datacenter_development_v1.worlds_v4.restrictive_draws_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43398139405,45811039212,ok,included,53817efc44cc4481ce14da78affbfd17244e40be4c76cc7f93a7166b84664221,True
datacenter_development_v1.worlds_v4.restrictive_draws_004,world_pack,scripted,agreement_stack_executed,True,True,18,43956300679,45654378329,ok,included,2c9c845a030b2f85ef018d102608c30a37c06ed0fec7960a848da799941641f3,True
datacenter_development_v1.worlds_v4.restrictive_draws_004,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,17fa498711574edbf1ad2f00a7b1e2a544865f1408f8ed49ea2774391531d5e0,True
datacenter_development_v1.worlds_v4.restrictive_draws_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,38456975017,40838299894,ok,included,9a4e5bd42bd678960ad66b8802dde173b0e484dd8102c74f53805b9c3ed8e9b8,True
datacenter_development_v1.worlds_v4.covenant_cliff_001,world_pack,scripted,agreement_stack_executed,True,True,18,47592214595,48878966170,ok,included,f7591c85aa838eb75cb725822d1d12556be76d854ae00d55dd84eb18396525b0,True
datacenter_development_v1.worlds_v4.covenant_cliff_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,58d53c3b21368f758825cee0173a2b2c3402da4a417777ee70ca2a41043bf030,True
datacenter_development_v1.worlds_v4.covenant_cliff_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,42994152492,44926330666,ok,included,38981de81c740eae56c1b4fef178b8726ef11986ddf06be96a58b91ef3fdf85a,True
datacenter_development_v1.worlds_v4.covenant_cliff_002,world_pack,scripted,agreement_stack_executed,True,True,18,48209920211,49500713533,ok,included,bc3001c175a6af604e85dea7395cf737e0abbfe4e7f7f64c32a3b9d4154eebba,True
datacenter_development_v1.worlds_v4.covenant_cliff_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,9ac752b35082147f0df54f506c17a02603291f503aa8619c5b92cb54b5ee69de,True
datacenter_development_v1.worlds_v4.covenant_cliff_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44913261465,46549092284,ok,included,f486cad89bac1bd1ea3ba03d8a3692835dbcf5bc62b0a9120d1d811803daa002,True
datacenter_development_v1.worlds_v4.covenant_cliff_003,world_pack,scripted,agreement_stack_executed,True,True,18,46696825149,47970172423,ok,included,de7cce9afd668b213a5a7d0a3304b8c65b33fea6f30ea3b09ca813cfd5a2ae1a,True
datacenter_development_v1.worlds_v4.covenant_cliff_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,66039e9479fc385e2315193e2a6e2710548334df8db511dfa836d75ab2ed5dfd,True
datacenter_development_v1.worlds_v4.covenant_cliff_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43263638768,44888623692,ok,included,7e134c92bab1c5d736a648e337a00c0b1443a4c3bc5220e0cfc751fd432efea5,True
datacenter_development_v1.worlds_v4.covenant_cliff_004,world_pack,scripted,agreement_stack_executed,True,True,18,49317686927,50622103191,ok,included,27c34b950c9d257351e8e5504a137772d15d0b47194dd111b21cc8795a9a2de6,True
datacenter_development_v1.worlds_v4.covenant_cliff_004,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,93244f90429e804e8d89eb76545f354d8fc5ccd6172cc23f7dbc223cf8bdde2e,True
datacenter_development_v1.worlds_v4.covenant_cliff_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44847951332,46791164653,ok,included,c83e8e1d454288f8f30f3d7901a42c1fcff798cfcade0a445c4c69e694747e36,True
datacenter_development_v1.worlds_v4.liability_transfer_001,world_pack,scripted,agreement_stack_executed,True,True,18,52779251735,53868525892,ok,included,65e6e5165e97a26407f4ad2882401fad064d421983beab28ed149094745d3496,True
datacenter_development_v1.worlds_v4.liability_transfer_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,d86d043b7d71940667b6e9dff5d4f47d6e1a8de6dfecc9520bb410f75b10a123,True
datacenter_development_v1.worlds_v4.liability_transfer_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,47817598203,49548638196,ok,included,9093f631a9cef44e5c4bd7d6fa63d9128e1d446d1ec537bc5cf6a5b20b13cfe7,True
datacenter_development_v1.worlds_v4.liability_transfer_002,world_pack,scripted,agreement_stack_executed,True,True,18,70481811578,71680964223,ok,included,28dd0cb92241f418bfe06c49680f4018b43b490e79edd32496df5c2a4afffdc5,True
datacenter_development_v1.worlds_v4.liability_transfer_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,52703b49738fcedbab1437c84949ac7a94ee4abe468db312f3003ed0c9209a91,True
datacenter_development_v1.worlds_v4.liability_transfer_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,65592579205,67421582512,ok,included,c6be1f15759eadd28a4f2a853fc70dabd17b8cb3d8797e29c9de5dc5bf40b69b,True
datacenter_development_v1.worlds_v4.liability_transfer_003,world_pack,scripted,agreement_stack_executed,True,True,18,67847635168,69006693498,ok,included,e100d6b3e5035b72b09410f0b8c7b92258d1feaab0501fd6956bebd62cedba28,True
datacenter_development_v1.worlds_v4.liability_transfer_003,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,e34dd05ff4063fd3deeccdd90e6f7f387e4850119edf13c3de50829a3481dd54,True
datacenter_development_v1.worlds_v4.liability_transfer_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,64761740214,66279083915,ok,included,254ebf351e2fdc22457452018a07b46a61f939cf9996ee63465d064de58671ae,True
datacenter_development_v1.worlds_v4.liability_transfer_004,world_pack,scripted,agreement_stack_executed,True,True,18,70427633679,71626667758,ok,included,1d953e6ce32b3393e5f660d3f38dc2632705445232114b94d5e6273908429f9e,True
datacenter_development_v1.worlds_v4.liability_transfer_004,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,47c711c832e4ad9f0093d124749e95074d2df44dfff3cd8f36f0bfd35cf7e1ef,True
datacenter_development_v1.worlds_v4.liability_transfer_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,66861045874,68397560630,ok,included,061f94bd691c41f5a64e0d68f963684eff3cce96dad824eb69be0ad0841a460c,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_001,world_pack,scripted,agreement_stack_executed,True,True,18,58801094133,60555770323,ok,included,ae1470554f356b2a92bc655b6448eae9ec968d642001e924b92fc173f3002f36,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_001,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,e63e3b3fae9ea927ae46265e77cf147ca8ef9973c4c107b4101046991beb77ed,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,55462140482,57498971932,ok,included,3555ef10a86d72f0a10efa56a4d7ab027f42198131958d986d206b576a004221,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_002,world_pack,scripted,agreement_stack_executed,True,True,18,57287999075,59025229213,ok,included,121d17c06a7b47b20c2afdeaa3a5eead0c66d62741bcaf326e359ab5dce9d970,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_002,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,f46b1e86b9055aa07152081eefee14e729d5fe37dd2210193e9bb293c53ec6ce,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,52293594454,54748155143,ok,included,34df5c68476cb8b13d578a65f686dfc256b65982279b3e3aaac399f66c3cbeba,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_003,world_pack,scripted,agreement_stack_executed,True,True,18,41534920655,42997603477,ok,included,147c0bbd34124b3a39a22ac1607078f7480c5cb52cc012bc169ca65ac6db3853,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,c18444b44a5b28ebe754775299310998666c9268879ed930abd4dcaef95490eb,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,36867519732,39072648541,ok,included,b5cedb6d2f1c3eeac56272fdaad0eee7a32341efaf2da0d3315cfc30fed6573e,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_004,world_pack,scripted,agreement_stack_executed,True,True,18,55689416226,57204437186,ok,included,45d1077abb8f6c4d75229c86a1b6495b594f3f69c96520dd506bfef9cf4bf208,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_004,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,72f45f877107dc569cd8dc98f35b6f54001816d6b3431218cd247f146943a951,True
datacenter_development_v1.worlds_v4.verbal_written_divergence_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,52711680398,54550234733,ok,included,7e9f9f9fc4b9be04cbabadf0842bcd5af3d6d555084cea716c6d6cbde254918e,True
