case_id,source,policy,termination_reason,project_completed,project_constraints_satisfied,logical_actions,developer_equity_npv_cents,total_project_npv_cents,receipt_status,inclusion_status,run_plan_sha256,replay_verified,coalition_decision
datacenter_development_v1.worlds_v3.covenant_cliff_003,world_pack,scripted,agreement_stack_executed,True,True,18,46696825149,47970172423,ok,included,9b81c92b410f18944f1e217bf14fa71473a7e755655303b215e166ff8a92b0f0,True,
datacenter_development_v1.worlds_v3.covenant_cliff_003,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,f9d6a6e3e1926c9ce8c1425e6f2e85f76aeab3b6581ab7073231778f94939592,True,
datacenter_development_v1.worlds_v3.covenant_cliff_003,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,43263638768,44888623692,ok,included,d6378c9fba705ef98dc7a2337e6042d26ac6ba652de713c72b2a104ba478f83d,True,
datacenter_development_v1.worlds_v3.covenant_cliff_004,world_pack,scripted,agreement_stack_executed,True,True,18,49317686927,50622103191,ok,included,7b1416aa668188e84c8d9ce50d67b745585717b87d8bfdfe8013afbab041d579,True,
datacenter_development_v1.worlds_v3.covenant_cliff_004,world_pack,walk_away,developer_walk,False,False,1,-800000000,-800000000,ok,included,d80772d0566ef931eb11dd91efe3a75aa63123e5e6ea253a3e3059e27866160b,True,
datacenter_development_v1.worlds_v3.covenant_cliff_004,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,44847951332,46791164653,ok,included,5d9a4b466d81773de7d969744432a0518d596417cfe652109fe34531f3f39dc5,True,
datacenter_development_v1.worlds_v3.liability_transfer_001,world_pack,scripted,agreement_stack_executed,True,True,18,52779251735,53868525892,ok,included,fdc99f70e4bee89e4124d3016fbe1249b37ba205cf1821ade36c1fb752839246,True,
datacenter_development_v1.worlds_v3.liability_transfer_001,world_pack,walk_away,developer_walk,False,False,1,-1100000000,-1100000000,ok,included,5c1066d2a4e1cecf8d828d35a85fbcd589e51aba908b77db8a9252a30698e519,True,
datacenter_development_v1.worlds_v3.liability_transfer_001,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,47817598203,49548638196,ok,included,01ffaac5299f50d78c0f152b5c7bdd4388e502c09989f5e493f66b1abfd3a482,True,
datacenter_development_v1.worlds_v3.liability_transfer_002,world_pack,scripted,agreement_stack_executed,True,True,18,70481811578,71680964223,ok,included,5e8a93240488bc4d677c1007a50c6de8dcb71d76a7f5c9a5aa10af1f5648c7eb,True,
datacenter_development_v1.worlds_v3.liability_transfer_002,world_pack,walk_away,developer_walk,False,False,1,-1500000000,-1500000000,ok,included,f89382e648126a7bbfec51d06bcb6e705586c75aa6d6edd7832c52535ff91202,True,
datacenter_development_v1.worlds_v3.liability_transfer_002,world_pack,adopt_every_counter,agreement_stack_executed,True,False,28,65592579205,67421582512,ok,included,46c03959187e364d9d179febcef38828f5dedd2dae28aeea6ce49390c38f43c8,True,
datacenter_development_v1.worlds_v3.liability_transfer_003,world_pack,scripted,agreement_stack_executed,True,True,18,67847635168,69006693498,ok,included,f1634023d436456f65eb3cb7e887c735556077f0f64be629b503ea30f769be24,True,
